usuario_id,filme_id,avaliacao
1,0,0
1,1,0
1,2,1
1,3,0
1,4,1
1,5,1
1,8,1
1,10,1
1,11,1
1,12,1
1,14,1
1,15,1
1,25,1
1,39,1
1,67,0
1,71,0
1,75,1
1,85,1
1,94,1
1,102,0
1,105,1
1,111,1
1,152,0
2,0,1
2,1,1
2,6,1
2,9,0
2,34,1
2,59,1
2,60,1
2,62,1
2,97,0
2,108,1
2,250,1
2,339,1
2,623,1
2,724,1
2,953,1
2,974,0
3,6,1
3,9,1
3,34,1
3,58,1
3,66,1
3,93,1
3,101,1
3,103,1
3,106,1
3,241,1
3,245,1
3,340,1
3,516,1
3,596,0
3,618,1
3,733,1
4,1,1
4,2,1
4,3,1
4,5,1
4,10,1
4,12,1
4,13,1
4,16,1
4,28,1
4,101,1
4,108,0
4,115,1
4,327,1
4,431,1
4,484,1
4,719,0
5,4,1
5,8,1
5,9,1
5,33,1
5,58,1
5,62,1
5,93,1
5,119,1
5,174,1
5,250,1
5,341,1
5,360,1
5,475,1
5,651,1
5,781,0
5,796,1
